source_index,neutral_id,issue_url,fix_url,buggy_sha,fixed_sha,submitted_a1,submitted_a2,submitted_a3,submitted_decision,dual_arm_evidence,audit_a1,audit_a2,audit_a3,finding_id,severity,disposition
1,EXT-fftw-01,https://github.com/FFTW/fftw3/issues/20,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
2,EXT-fftw-02,https://github.com/FFTW/fftw3/issues/294,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
3,EXT-fftw-03,https://github.com/FFTW/fftw3/issues/327,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
4,EXT-fftw-04,https://github.com/FFTW/fftw3/issues/328,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
5,EXT-fftw-05,https://github.com/FFTW/fftw3/issues/174,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
6,EXT-suitesparse-01,,https://github.com/DrTimothyAldenDavis/SuiteSparse/commit/97d3b1037d2430bea5526f3c0c33310e3016e4a3,,,FAIL,PENDING,FAIL,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
7,EXT-suitesparse-02,,https://github.com/DrTimothyAldenDavis/SuiteSparse/commit/b6ed7c905e32c46c20285e8582dbdb95e439ef17,c0b141a984939884df4067df9994833c93547d22,b6ed7c905e32c46c20285e8582dbdb95e439ef17,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
8,EXT-suitesparse-03,https://github.com/DrTimothyAldenDavis/SuiteSparse/issues/982,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
9,EXT-suitesparse-04,https://github.com/DrTimothyAldenDavis/SuiteSparse/issues/1040,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
10,EXT-suitesparse-05,https://github.com/DrTimothyAldenDavis/SuiteSparse/issues/1018,,,,FAIL,PENDING,FAIL,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
11,EXT-pocketfft-01,https://github.com/scipy/scipy/issues/21693,https://github.com/mreineck/pocketfft/commit/fb21e4016b96f50a83c516fc0acabe8def4b3bb5,076cb3d2536b7c5d0629093ad886e10ac05f3623,fb21e4016b96f50a83c516fc0acabe8def4b3bb5,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
12,EXT-pocketfft-02,https://github.com/mreineck/pocketfft/issues/15,https://github.com/mreineck/pocketfft/commit/3de1740ee61b5d6dbc3c5f3d3b98894145fb1032,bb5bdb776c64819f66cb2205f78bef1581448628,3de1740ee61b5d6dbc3c5f3d3b98894145fb1032,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,FAIL_REQUIRED,A1-SCOPE-001,BLOCKER,Set A3=FAIL and decision=EXCLUDED; integer size-selection helper is not float-vector to float/few-float.
13,EXT-pocketfft-03,https://github.com/mreineck/pocketfft/issues/4,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
