neutral_id,source_cohort,repository,issue_url,buggy_sha,fixed_sha,mechanism,crit_real_public_fix,crit_dual_arm_repro,crit_in_numerical_scope,decision,decision_reason,analysis_id
EXT-pymc-01,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/8300,,,closed after clarifying intended total_size likelihood scaling.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: no identifiable merged public fix commit.,
EXT-pymc-02,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/7082,,,closed as a duplicate without a fix on this issue.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: no identifiable merged public fix commit.,
EXT-pymc-03,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/6800,f67ff8bc22fcc72ead96eeeaef04173ed53650cb,659f177ce9e3f39f1084d74e30d84f010bdb8e6a,replaces documentation references only.,PASS,PENDING,FAIL,EXCLUDED,Excluded as documentation.,
EXT-pymc-04,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/6648,fa82fef054ee0b09965741c6bf166611317d2221,23572e1495883db59babb518aadb88079b1d3afa,restores probability dtype casting in the icdf path; crash-only failure outside admitted numerical return defects.,PASS,PENDING,FAIL,EXCLUDED,Excluded as crash-only.,
EXT-pymc-05,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/6310,82eae9a2991a1ac2d5595c325c090bce1f4e9d81,3729614ea38b36dee7be2641dda7200a35acd185,adds a warning about hessian sign without restoring the prior sign.,PASS,PENDING,FAIL,EXCLUDED,Excluded as documentation.,
EXT-pymc-06,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/5862,,,installation failure importing aesara/pytensor in Colab.,FAIL,PENDING,FAIL,EXCLUDED,Excluded as build/packaging.,
EXT-pymc-07,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/5494,,,runtime import failure for the MKL package.,FAIL,PENDING,FAIL,EXCLUDED,Excluded as build/packaging.,
EXT-pymc-08,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/4643,,,closed without a merged public fix for Bound prior predictive sampling.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: no identifiable merged public fix commit.,
EXT-pymc-09,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/4429,7b27a07aaf0463e4ad5e271fb3a4109d2e27812e,a4f965789199adda68f4958b8155e6a7ca5d62fa,changes CheckParameterValue rewrite policy around check_bounds.,PASS,PENDING,FAIL,EXCLUDED,Excluded as behaviour change that is intended API redesign.,
EXT-pymc-10,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/4399,a3c20606753726e09799f05721e68101e637df72,89916ad724ae88ebb4c1af3d65919b87b318f180,expands invalid-parameter logcdf test coverage.,PASS,PENDING,FAIL,EXCLUDED,Excluded as test-infrastructure.,
EXT-pymc-11,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/4366,0ec65e52a701e437780eb5c50b5f063886309ac1,0402aab9594ec7c4f63c4ea35a52428d424652b4,restores HyperGeometric logp bounds for previously wrong values.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,A1 and A3 pass on public issue and merged fix evidence.,
EXT-pymc-12,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/3968,3b765a52dbae3772ae72ee7f16b446a2eaee7547,801f6d2e77772f0624121750d08aa3214d76b0d1,adds a warning and documentation clarification in the gp module.,PASS,PENDING,FAIL,EXCLUDED,Excluded as documentation.,
EXT-pymc-13,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/3168,,,Windows Anaconda dependency installation failure.,FAIL,PENDING,FAIL,EXCLUDED,Excluded as build/packaging.,
EXT-pymc-14,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/3156,6f7fafaf93a9468cb6dac996e801f40f033fc170,c6131064c6467e0927cfdb77b0488dc715aef75d,restores Categorical logp for multidimensional probability inputs.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,A1 and A3 pass on public issue and merged fix evidence.,
EXT-pymc-15,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/2482,6e02dbc58acd4ab55e06a4e3b2d86d847946dbdc,866c4821b70f5925847e10135be1f4f285ac34ad,restores MAP/MLE handling for Uniform random variables via logp_nojac.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,A1 and A3 pass on public issue and merged fix evidence.,
EXT-pymc-16,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/2032,7b0eb365dc1725d00955571ad6059e8be7b4a630,42bc88e0c679ed61b086df5a8dd967394fa37abc,restores floatX casting in transform inputs that produced GPU log errors; crash-only failure outside admitted numerical return defects.,PASS,PENDING,FAIL,EXCLUDED,Excluded as crash-only.,
EXT-pymc-17,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/1973,,,closed without a merged public fix for theano.scan FloatingPoint/LinAlg failures.,FAIL,PENDING,FAIL,EXCLUDED,A1 fails: no identifiable merged public fix commit.,
EXT-pymc-18,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/1873,,,closed without a merged public numerical fix for the lasso_missing MAP failure.,FAIL,PENDING,FAIL,EXCLUDED,A1 fails: no identifiable merged public fix commit.,
EXT-pymc-19,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/1848,fecf1f41523c9965c7631f8f15e8d495d9e3a9e8,5a76df50be66d4bda3952a1c8882db0afd2bb2ab,clips Stationary.square_dist outputs that produced negative distances and NaN covariances.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,A1 and A3 pass on public issue and merged fix evidence.,
EXT-pymc-20,supplemental_r2,pymc-devs/pymc,https://github.com/pymc-devs/pymc/issues/1843,5d2fe4f86b6447e112fc73db94f75427106a907e,09afc8e74ecc56644be26916911996470d020ab3,rejects observed Bound RVs that previously returned unnormalized wrong logp values.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,A1 and A3 pass on public issue and merged fix evidence.,
EXT-gpytorch-01,supplemental_r2,cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch/issues/2596,,,closed after the reporter attributed the failure to defective GPU hardware.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: no identifiable merged public fix commit.,
