neutral_id,repo,issue_url,buggy_sha,fixed_sha,mechanism_sentence,crit_real_defect,crit_dual_arm_repro,crit_in_scope,decision,exclusion_reason,analysis_id
EXT-fftw-01,FFTW,https://github.com/FFTW/fftw3/issues/20,,,reports incorrect one-dimensional transform values for the documented input.,FAIL,PENDING,PASS,EXCLUDED,no identifiable merged public fix commit,
EXT-fftw-02,FFTW,https://github.com/FFTW/fftw3/issues/294,,,reports inconsistent transform results when the documented SIMD planning sequence is used.,FAIL,PENDING,PASS,EXCLUDED,no identifiable merged public fix commit,
EXT-fftw-03,FFTW,https://github.com/FFTW/fftw3/issues/327,,,reports an unexpected transform value without a version-pinned fix.,FAIL,PENDING,PASS,EXCLUDED,no identifiable merged public fix commit,
EXT-fftw-04,FFTW,https://github.com/FFTW/fftw3/issues/328,,,reports incorrect transform values under the documented SIMD configuration.,FAIL,PENDING,PASS,EXCLUDED,no identifiable merged public fix commit,
EXT-fftw-05,FFTW,https://github.com/FFTW/fftw3/issues/174,,,reports an incorrect MPI local-size result for the single-precision transform.,FAIL,PENDING,PASS,EXCLUDED,no identifiable merged public fix commit,
EXT-suitesparse-01,DrTimothyAldenDavis/SuiteSparse,,,,changes the postordering routine used by sparse factorisation.,FAIL,PENDING,FAIL,EXCLUDED,no public issue or equivalent tracker entry linked to the fix,
EXT-suitesparse-02,DrTimothyAldenDavis/SuiteSparse,,c0b141a984939884df4067df9994833c93547d22,b6ed7c905e32c46c20285e8582dbdb95e439ef17,corrects the numerical update used by the supernodal Cholesky factorisation.,FAIL,PENDING,PASS,EXCLUDED,no public issue or equivalent tracker entry linked to the fix,
EXT-suitesparse-03,DrTimothyAldenDavis/SuiteSparse,https://github.com/DrTimothyAldenDavis/SuiteSparse/issues/982,,,reports a QR result discrepancy that is not linked to an identifiable fix commit.,FAIL,PENDING,PASS,EXCLUDED,no identifiable merged public fix commit,
EXT-suitesparse-04,DrTimothyAldenDavis/SuiteSparse,https://github.com/DrTimothyAldenDavis/SuiteSparse/issues/1040,,,reports an unresolved sparse-factorisation result discrepancy.,FAIL,PENDING,PASS,EXCLUDED,no identifiable merged public fix commit,
EXT-suitesparse-05,DrTimothyAldenDavis/SuiteSparse,https://github.com/DrTimothyAldenDavis/SuiteSparse/issues/1018,,,reports an unresolved platform-specific graph computation discrepancy.,FAIL,PENDING,FAIL,EXCLUDED,no identifiable merged public fix commit; output is not a float or few-float numerical kernel,
EXT-pocketfft-01,mreineck/pocketfft,https://github.com/scipy/scipy/issues/21693,076cb3d2536b7c5d0629093ad886e10ac05f3623,fb21e4016b96f50a83c516fc0acabe8def4b3bb5,restores orthonormal scaling for the affected sine transforms.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-pocketfft-02,mreineck/pocketfft,https://github.com/mreineck/pocketfft/issues/15,bb5bdb776c64819f66cb2205f78bef1581448628,3de1740ee61b5d6dbc3c5f3d3b98894145fb1032,avoids integer overflow when selecting efficient transform sizes.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
