neutral_id,repo,issue_url,buggy_sha,fixed_sha,mechanism_sentence,crit_real_defect,crit_dual_arm_repro,crit_in_scope,decision,exclusion_reason,analysis_id
EXT-pymc-01,pymc,https://github.com/pymc-devs/pymc/issues/6917,b06d6c38908b00f0600b453fc74fd93014c91132,97df9c3d3b14e951d423fe5dd8bd974a066799e9,rewrites valued random-variable relationships during log-density inference.,FAIL,PENDING,FAIL,EXCLUDED,logprob IR rewrite is not a few-output numerical kernel,
EXT-pymc-02,pymc,https://github.com/pymc-devs/pymc/issues/6909,b06d6c38908b00f0600b453fc74fd93014c91132,97df9c3d3b14e951d423fe5dd8bd974a066799e9,repairs scan log-density evaluation when unvalued stochastic outputs are returned.,FAIL,PENDING,FAIL,EXCLUDED,open issue with broad IR rewrite rather than an isolated numerical-kernel fix,
EXT-pymc-03,pymc,https://github.com/pymc-devs/pymc/issues/6798,8e89828f9eafbd79faecf39bb762c56208826415,13e7c88506adf211efba0e64641154e138e24f03,corrects mathematical notation in conditional log-density docstrings.,PASS,PENDING,FAIL,EXCLUDED,documentation-only defect,
EXT-pymc-04,pymc,https://github.com/pymc-devs/pymc/issues/5659,,d5b4b34a5e5ae4801c8caa22b0ac3ae84d82b190,repairs ordered transforms for multi-dimensional free variables.,FAIL,PENDING,FAIL,EXCLUDED,no resolvable buggy parent commit for the linked unmerged fix,
EXT-pymc-05,pymc,https://github.com/pymc-devs/pymc/issues/5560,bae5087621323af3cb3cc95cf8d673da21ab4023,458f28ef65d27f5ab83d6204e56e557e0cd8a38a,removes a custom multinomial random-variable override.,PASS,PENDING,FAIL,EXCLUDED,distribution implementation refactor without a few-output numerical-kernel contract,
EXT-pymc-06,pymc,https://github.com/pymc-devs/pymc/issues/4452,b6660f92270bc4d77a33938a1b185502d1c1433e,0c21de4f71d74c1d9797c4d1d7f141a3540ee89a,returns correctly batched Dirichlet samples for multi-observation inputs.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-pymc-07,pymc,https://github.com/pymc-devs/pymc/issues/4425,34b35c14ef023a44260b5a23c6d4d69cf5383795,d248a0e94d67f12c67342c54f90f9b72752e1a1b,narrows overly broad xfail markers in the distribution test suite.,PASS,PENDING,FAIL,EXCLUDED,test-infrastructure defect,
EXT-pymc-08,pymc,https://github.com/pymc-devs/pymc/issues/4366,0ec65e52a701e437780eb5c50b5f063886309ac1,0402aab9594ec7c4f63c4ea35a52428d424652b4,returns finite negative infinity for invalid HyperGeometric log-density inputs.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-pymc-09,pymc,https://github.com/pymc-devs/pymc/issues/4342,a21fafaab0bf1fbc5281615a4b898961d70a9f59,acb8da03005c28f33f55395b8c18ab73aae771a6,returns correct Beta log-CDF values for array-valued inputs.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-pymc-10,pymc,https://github.com/pymc-devs/pymc/issues/4340,a21fafaab0bf1fbc5281615a4b898961d70a9f59,acb8da03005c28f33f55395b8c18ab73aae771a6,avoids process-ending assertions for invalid InverseGamma log-CDF parameters.,PASS,PENDING,FAIL,EXCLUDED,crash-only failure on invalid InverseGamma log-CDF parameters,
